symbol,long_name,r2,diff_pct,slope
ADSK,Autodesk Inc,0.7557458680640851,0.34957242710997416,0.13207213745162127
ADP,Automatic Data Processing,0.8488732694937018,0.9158195319983594,0.12555803740365185
ISRG,Intuitive Surgical Inc.,0.8867852353176349,0.33016487317489024,0.4072478255249925
MAR,Marriot International Class A Common Stock,0.7132417901139713,0.04797724370037839,0.12176480280457126
MA,Mastercard Incorporated,0.9259758002731805,0.6610566208642674,0.25461190581587567
NWSA,News Corporation Class A Common Stock,0.8265806888611297,0.21382178982558875,0.013473573326225393
NWS,News Corporation Class B Common Stock,0.9343904525153964,0.128640854217288,0.01869223224336662
PKG,Packaging Corp of America,0.7404629346352416,0.34812905393321847,0.12107539849230876
PNR,Pentair plc,0.8025669743044589,0.05870373565002872,0.057563298050888945
SPGI,S&P Global Inc.,0.840522055260583,0.430218992420503,0.2172005207065598
SHW,The Sherwin-Williams Company,0.7766985056042331,2.531811587186821,0.17798987350293907
NOW,"SERVICENOW, INC.",0.8160295414900666,0.9026517536535569,0.694184873382053
TMUS,"T-Mobile US, Inc.",0.9210666533696634,0.9588124648554363,0.1830357282185066
GWW,"W.W. Grainger, Inc.",0.7882359238577972,0.0876451125028451,0.5824085625224016
